epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.78452,3.29552,4.19099,4.24141,0.00189,0.33987,0.00236,0.00057,3.65961,3.65435,4.13983,0.0002375,0.0002375,0.0002375
2,13.0261,3.19557,3.9776,4.03904,0.00204,0.36877,0.00349,0.00091,3.60873,3.68829,4.0621,0.000486526,0.000486526,0.000486526
3,17.0917,2.9141,3.72987,3.64971,0,0,0,0,4.02778,4.0427,4.9034,0.000734553,0.000734553,0.000734553
4,20.7769,2.70932,3.50847,3.40109,0.00085,0.08533,0.0005,0.00011,4.0471,3.85152,4.66701,0.000981581,0.000981581,0.000981581
5,24.6019,2.5421,3.37657,3.16887,0.02141,0.01983,0.00232,0.00061,3.08725,5.37979,3.71572,0.00122761,0.00122761,0.00122761
6,29.6522,2.40452,3.22623,3.07495,0.26304,0.01816,0.00663,0.00204,3.07909,18.4713,3.91272,0.00123751,0.00123751,0.00123751
7,40.5866,2.22882,3.11583,2.9095,0.00289,0.49566,0.00286,0.00093,3.02044,9.20904,3.53594,0.00123502,0.00123502,0.00123502
8,46.8687,2.15765,3.06511,2.81893,0.06501,0.36334,0.07476,0.02987,2.33214,13.2427,3.07209,0.00123252,0.00123252,0.00123252
9,53.4655,2.03558,2.95003,2.7239,0.09682,0.2489,0.08941,0.03251,2.36208,2.85587,2.82098,0.00123002,0.00123002,0.00123002
10,61.5362,1.99161,2.82077,2.64938,0.10166,0.18822,0.08735,0.02798,2.27701,4.6225,2.8774,0.00122752,0.00122752,0.00122752
11,84.7973,1.89007,2.73906,2.56843,0.08147,0.46358,0.11586,0.04436,2.08949,4.47192,2.63554,0.00122503,0.00122503,0.00122503
12,95.324,1.88903,2.67047,2.52286,0.19523,0.44643,0.16746,0.06263,2.03232,3.23104,2.67296,0.00122253,0.00122253,0.00122253
13,107.507,1.81356,2.55594,2.43477,0.18894,0.43402,0.20764,0.08587,1.82524,2.36985,2.33291,0.00122003,0.00122003,0.00122003
14,120.515,1.71649,2.45453,2.36602,0.18316,0.47725,0.20456,0.09918,1.7351,2.28373,2.27171,0.00121753,0.00121753,0.00121753
15,132.076,1.70957,2.45258,2.32781,0.14791,0.44183,0.18941,0.08779,1.77948,2.58416,2.26981,0.00121503,0.00121503,0.00121503
16,142.609,1.69353,2.3692,2.29041,0.207,0.48779,0.23303,0.12246,1.64584,2.37228,2.13323,0.00121254,0.00121254,0.00121254
17,154.826,1.64083,2.34585,2.26367,0.20104,0.47503,0.21715,0.10026,1.71839,2.40946,2.21229,0.00121004,0.00121004,0.00121004
18,166.514,1.63118,2.31581,2.26839,0.18959,0.44426,0.19926,0.10235,1.64216,2.32979,2.15204,0.00120754,0.00120754,0.00120754
19,179.817,1.59454,2.24561,2.19378,0.21454,0.54086,0.27822,0.15796,1.52898,2.11628,1.98686,0.00120505,0.00120505,0.00120505
20,192.426,1.54892,2.22035,2.12946,0.22139,0.51378,0.27074,0.15686,1.46386,2.13504,2.01106,0.00120255,0.00120255,0.00120255
21,204.075,1.50598,2.14606,2.12816,0.26797,0.53562,0.33122,0.16825,1.6117,1.97938,2.05589,0.00120005,0.00120005,0.00120005
