epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1537,3.24465,4.15887,4.20934,0.00188,0.33602,0.00191,0.00054,3.66516,3.66766,4.15139,0.0002375,0.0002375,0.0002375
2,49.0065,2.94084,3.85915,3.83788,0.00198,0.35456,0.00142,0.0004,3.63005,3.54048,4.12634,0.000486526,0.000486526,0.000486526
3,64.4584,2.61208,3.61477,3.37744,0.00069,0.06154,0.00045,0.00013,3.7575,3.90286,4.21704,0.000734553,0.000734553,0.000734553
4,78.427,2.45675,3.37447,3.0752,0,0,0,0,3.82998,4.01782,4.36861,0.000981581,0.000981581,0.000981581
5,90.2065,2.38508,3.26669,2.90739,0.00294,0.00192,0.00149,0.00015,3.90325,4.6551,4.64524,0.00122761,0.00122761,0.00122761
6,105.799,2.20431,3.12561,2.77823,0.00175,0.3559,0.01005,0.00254,3.19406,4.22712,3.77229,0.00123751,0.00123751,0.00123751
7,119.949,2.06695,2.92617,2.64851,0.12153,0.2559,0.09138,0.02545,2.538,2.94748,3.27262,0.00123502,0.00123502,0.00123502
8,134.646,1.99419,2.82803,2.56651,0.09213,0.33237,0.12171,0.03347,2.33045,3.37328,3.13648,0.00123252,0.00123252,0.00123252
9,149.898,1.92329,2.73094,2.49367,0.33855,0.26732,0.09877,0.03283,2.32461,3.80377,2.93975,0.00123002,0.00123002,0.00123002
10,163.909,1.88622,2.67637,2.43945,0.12601,0.46178,0.15773,0.05738,2.05848,2.65199,2.64923,0.00122752,0.00122752,0.00122752
11,180.037,1.77479,2.55841,2.34489,0.17732,0.44221,0.18362,0.07304,2.14632,2.43443,2.68447,0.00122503,0.00122503,0.00122503
12,194.373,1.76807,2.52083,2.31885,0.08929,0.40909,0.15532,0.05902,2.05235,3.2914,2.60047,0.00122253,0.00122253,0.00122253
13,208.605,1.69753,2.3941,2.22166,0.11611,0.46305,0.14468,0.05564,2.01282,2.62042,2.51693,0.00122003,0.00122003,0.00122003
14,223.937,1.66663,2.31812,2.14863,0.16031,0.46251,0.15396,0.06808,1.91998,2.60981,2.53962,0.00121753,0.00121753,0.00121753
15,239.288,1.6258,2.31443,2.13719,0.16941,0.37992,0.2062,0.09053,1.76313,2.60606,2.41203,0.00121503,0.00121503,0.00121503
16,253.788,1.58377,2.21989,2.08764,0.21658,0.53409,0.23784,0.13018,1.61253,2.34699,2.12806,0.00121254,0.00121254,0.00121254
17,268.786,1.5808,2.19828,2.07229,0.2295,0.5905,0.27108,0.14124,1.61432,2.04473,2.09786,0.00121004,0.00121004,0.00121004
18,284.305,1.5333,2.12942,2.0233,0.22122,0.65634,0.25803,0.13344,1.72189,2.00782,2.16516,0.00120754,0.00120754,0.00120754
19,299.012,1.50184,2.07732,1.982,0.21489,0.62922,0.26571,0.15978,1.50367,1.97144,1.95491,0.00120505,0.00120505,0.00120505
20,316.635,1.46438,2.05732,1.95129,0.2239,0.69173,0.2995,0.19033,1.3831,1.85068,1.8578,0.00120255,0.00120255,0.00120255
21,330.865,1.42482,2.02448,1.911,0.24887,0.63498,0.30272,0.16258,1.59357,1.92845,2.03035,0.00120005,0.00120005,0.00120005
22,345.131,1.38704,1.98814,1.87739,0.26523,0.53755,0.32995,0.19895,1.44573,1.84305,1.89914,0.00119755,0.00119755,0.00119755
23,359.591,1.3651,1.93201,1.85074,0.27468,0.6278,0.30767,0.19011,1.38263,1.8644,1.85139,0.00119505,0.00119505,0.00119505
24,373.372,1.35827,1.92589,1.85955,0.28115,0.55775,0.32421,0.20059,1.35699,1.92183,1.81271,0.00119256,0.00119256,0.00119256
25,388.552,1.35512,1.93099,1.83339,0.34098,0.54162,0.38474,0.25089,1.28292,1.69221,1.72972,0.00119006,0.00119006,0.00119006
26,402.874,1.33395,1.9004,1.81408,0.28597,0.56015,0.31482,0.16305,1.56929,1.95784,1.99317,0.00118756,0.00118756,0.00118756
27,416.615,1.3399,1.86843,1.80483,0.33387,0.62061,0.38048,0.24559,1.24912,1.71775,1.72825,0.00118507,0.00118507,0.00118507
28,430.399,1.26832,1.80899,1.74645,0.35814,0.64429,0.41201,0.27166,1.18408,1.57136,1.67428,0.00118257,0.00118257,0.00118257
29,444.99,1.27854,1.77622,1.75588,0.3594,0.54801,0.39339,0.25699,1.30279,1.70528,1.75153,0.00118007,0.00118007,0.00118007
30,458.661,1.29951,1.78861,1.75915,0.2978,0.62712,0.32506,0.20443,1.31073,1.95774,1.76161,0.00117757,0.00117757,0.00117757
31,472.678,1.26217,1.7901,1.74781,0.31912,0.62212,0.35225,0.22816,1.2704,1.88004,1.72475,0.00117507,0.00117507,0.00117507
32,485.4,1.27784,1.75783,1.75014,0.33343,0.66028,0.36903,0.23985,1.15277,1.62378,1.60949,0.00117258,0.00117258,0.00117258
