                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5907,                 3.9621,                 4.1827,                0.00356,                0.66948,                0.00588,                0.00207,                 2.7728,                 3.6063,                 4.0637,               0.070638,              0.0032624,              0.0032624
                      2,                 2.4662,                 3.9037,                 4.0344,                 0.0034,                0.70626,                0.00996,                0.00341,                 2.5517,                 3.5039,                 3.8818,               0.040617,               0.006574,               0.006574
                      3,                 2.1841,                 3.7563,                 3.7216,                0.00292,                0.68508,                0.01805,                0.00471,                 2.3356,                 4.3039,                 3.6151,               0.010573,              0.0098635,              0.0098635
                      4,                 2.0232,                 3.7093,                 3.4087,                 0.3018,                0.18959,                0.04037,                0.01234,                 2.0235,                 6.1929,                 3.4392,               0.009901,               0.009901,               0.009901
                      5,                 1.8729,                 3.5758,                 3.1938,                0.53169,                0.19699,                0.06643,                0.02161,                 1.9847,                 10.157,                 3.3012,               0.009901,               0.009901,               0.009901
                      6,                  1.727,                  3.445,                 2.9964,                0.07463,                0.36793,                0.05409,                0.01748,                 2.0453,                  7.784,                 3.2093,               0.009868,               0.009868,               0.009868
                      7,                 1.5444,                 3.3879,                 2.8261,                0.04669,                0.31166,                0.08922,                 0.0281,                 1.6326,                 4.8944,                 2.9042,               0.009835,               0.009835,               0.009835
                      8,                  1.426,                 3.2854,                 2.7246,                0.07638,                0.35964,                0.07235,                0.02081,                  1.615,                 7.9124,                 2.9547,               0.009802,               0.009802,               0.009802
                      9,                 1.3659,                 3.1951,                 2.6662,                0.51293,                0.11766,                0.03101,                 0.0087,                  1.389,                 4.1076,                   2.67,               0.009769,               0.009769,               0.009769
                     10,                 1.2608,                 3.0756,                 2.5814,                 0.1057,                0.31414,                0.11812,                0.03343,                 1.4228,                 3.2219,                 2.6795,               0.009736,               0.009736,               0.009736
                     11,                 1.2133,                 2.9851,                 2.5177,                0.29513,                0.24732,                0.11079,                0.04116,                 1.6285,                 3.3554,                   2.88,               0.009703,               0.009703,               0.009703
                     12,                 1.1511,                 2.9029,                 2.4626,                0.35148,                0.18577,                0.10388,                0.03998,                 1.3549,                 3.1176,                 2.6222,                0.00967,                0.00967,                0.00967
                     13,                 1.1057,                 2.8283,                  2.408,                0.12221,                0.42265,                0.19393,                0.08015,                 1.2558,                 2.7569,                 2.4719,               0.009637,               0.009637,               0.009637
                     14,                 1.0471,                 2.7474,                 2.3516,                0.18151,                0.35291,                0.21235,                0.08203,                 1.2005,                 2.8193,                 2.4393,               0.009604,               0.009604,               0.009604
                     15,                 1.0005,                 2.6728,                  2.269,                0.27282,                0.42696,                0.26194,                0.12528,                 1.0329,                 2.3935,                 2.2914,               0.009571,               0.009571,               0.009571
                     16,                 0.9737,                 2.6139,                 2.2298,                 0.2042,                0.51819,                0.28356,                0.14576,                 0.9063,                 2.3955,                 2.1487,               0.009538,               0.009538,               0.009538
                     17,                0.95928,                 2.5739,                 2.2115,                0.29096,                0.42979,                0.28964,                0.15374,                0.86783,                 2.2412,                 2.1418,               0.009505,               0.009505,               0.009505
                     18,                 0.9408,                 2.5246,                  2.173,                0.31169,                 0.4788,                0.32768,                0.18675,                0.79049,                 2.1015,                 2.0015,               0.009472,               0.009472,               0.009472
                     19,                0.91776,                 2.4273,                 2.1462,                0.25003,                0.46882,                0.31321,                0.17606,                0.75754,                 2.1983,                 1.9529,               0.009439,               0.009439,               0.009439
                     20,                0.87268,                 2.4118,                 2.1054,                0.33875,                0.47811,                0.32598,                0.18304,                0.77395,                 2.0627,                 2.0146,               0.009406,               0.009406,               0.009406
                     21,                0.86598,                 2.3452,                 2.0786,                0.41359,                0.54683,                 0.3934,                0.24054,                0.70717,                 1.8967,                 1.9009,               0.009373,               0.009373,               0.009373
                     22,                0.81724,                 2.2976,                 2.0396,                0.33332,                0.44342,                0.31881,                0.18782,                0.70362,                 2.0544,                 1.8949,                0.00934,                0.00934,                0.00934
                     23,                0.80145,                 2.2659,                 2.0105,                0.36107,                0.59795,                 0.4002,                0.26448,                0.58965,                 1.8413,                 1.7582,               0.009307,               0.009307,               0.009307
                     24,                0.78219,                 2.2353,                  1.987,                0.30228,                0.55851,                0.39605,                 0.2327,                 0.6974,                  1.944,                 1.8714,               0.009274,               0.009274,               0.009274
                     25,                0.77676,                 2.1875,                 1.9788,                0.39136,                0.51757,                0.41861,                0.26959,                0.60318,                 1.8127,                 1.7851,               0.009241,               0.009241,               0.009241
                     26,                0.76568,                 2.1648,                 1.9564,                0.39657,                0.52776,                0.42154,                0.26698,                0.61681,                 1.6978,                 1.7731,               0.009208,               0.009208,               0.009208
                     27,                0.72772,                 2.0832,                 1.9095,                 0.3673,                0.62333,                0.43971,                0.28968,                0.53202,                 1.7548,                 1.6681,               0.009175,               0.009175,               0.009175
                     28,                0.71923,                 2.0827,                 1.8902,                0.38713,                 0.5675,                0.40171,                0.27217,                0.58829,                 1.7081,                 1.7303,               0.009142,               0.009142,               0.009142
                     29,                0.72446,                 2.0362,                 1.8841,                0.33638,                0.57539,                0.42844,                0.28443,                0.58385,                 1.6454,                 1.7315,               0.009109,               0.009109,               0.009109
                     30,                0.70364,                 2.0035,                 1.8718,                0.44165,                0.58722,                0.43565,                0.30311,                0.47896,                 1.6959,                 1.6112,               0.009076,               0.009076,               0.009076
                     31,                0.70182,                 2.0073,                 1.8434,                0.38096,                 0.6208,                0.51418,                0.35679,                0.45434,                 1.5329,                 1.5674,               0.009043,               0.009043,               0.009043
                     32,                 0.7016,                 1.9801,                 1.8316,                 0.3978,                0.58778,                0.46937,                0.33063,                0.44348,                 1.5408,                 1.5567,                0.00901,                0.00901,                0.00901
                     33,                 0.6806,                 1.9507,                 1.8241,                 0.3381,                0.34341,                0.26539,                0.14939,                 1.0318,                 2.6536,                 2.3351,               0.008977,               0.008977,               0.008977
                     34,                 0.6638,                 1.8992,                 1.7804,                 0.4844,                0.54697,                0.50203,                0.35972,                0.45467,                   1.54,                  1.524,               0.008944,               0.008944,               0.008944
                     35,                0.66131,                 1.8994,                  1.778,                0.23226,                 0.4793,                0.28478,                0.18077,                0.60164,                 2.1454,                 1.7073,               0.008911,               0.008911,               0.008911
                     36,                0.65339,                 1.8661,                 1.7706,                0.38304,                0.65083,                0.47924,                0.33616,                0.47095,                 1.5901,                  1.546,               0.008878,               0.008878,               0.008878
                     37,                0.66532,                  1.907,                  1.788,                0.38936,                0.54436,                0.43104,                0.30731,                0.50584,                 1.7662,                 1.5786,               0.008845,               0.008845,               0.008845
                     38,                0.62514,                 1.8083,                 1.7263,                  0.432,                0.63018,                0.48768,                0.36088,                0.42472,                 1.5566,                 1.4984,               0.008812,               0.008812,               0.008812
                     39,                0.63734,                 1.8388,                 1.7295,                0.49084,                0.59637,                0.55212,                0.40212,                0.41173,                  1.439,                 1.4691,               0.008779,               0.008779,               0.008779
                     40,                0.64035,                 1.8174,                   1.74,                 0.4899,                0.65024,                0.52677,                0.40194,                0.36224,                 1.4416,                 1.3981,               0.008746,               0.008746,               0.008746
                     41,                0.62592,                   1.79,                 1.7306,                0.51094,                0.58841,                0.58714,                0.45029,                0.37124,                 1.3436,                 1.4054,               0.008713,               0.008713,               0.008713
                     42,                0.60504,                 1.7235,                 1.6983,                0.51517,                0.61644,                0.55804,                0.42172,                0.37135,                 1.4031,                 1.3937,                0.00868,                0.00868,                0.00868
                     43,                0.61866,                 1.7571,                 1.7029,                0.50281,                0.61532,                 0.5555,                 0.4161,                0.37528,                 1.4227,                 1.4063,               0.008647,               0.008647,               0.008647
                     44,                0.63033,                  1.753,                 1.7012,                0.51982,                0.57799,                0.49908,                0.38569,                0.37932,                 1.5273,                 1.4073,               0.008614,               0.008614,               0.008614
                     45,                0.61055,                 1.7409,                 1.7037,                0.37447,                 0.6491,                0.52935,                0.41524,                0.35689,                 1.4335,                 1.3704,               0.008581,               0.008581,               0.008581
                     46,                0.58361,                 1.6893,                 1.6668,                0.43349,                0.58078,                0.52129,                0.38772,                0.40413,                 1.3944,                 1.4382,               0.008548,               0.008548,               0.008548
                     47,                0.60592,                 1.7247,                 1.6838,                0.57683,                0.61974,                  0.625,                0.47302,                0.39063,                 1.2778,                 1.4048,               0.008515,               0.008515,               0.008515
                     48,                0.60844,                 1.6916,                 1.6746,                0.42934,                0.66981,                0.55789,                0.41863,                0.38881,                 1.4022,                 1.4077,               0.008482,               0.008482,               0.008482
                     49,                 0.5985,                 1.6746,                 1.6712,                0.58418,                0.62527,                 0.6404,                0.49812,                 0.3687,                 1.2535,                 1.3677,               0.008449,               0.008449,               0.008449
                     50,                0.59946,                 1.6523,                 1.6624,                0.57727,                0.65198,                0.62275,                 0.4788,                0.36874,                 1.2952,                 1.3789,               0.008416,               0.008416,               0.008416
                     51,                0.59276,                 1.6812,                 1.6502,                0.49816,                0.64664,                0.56469,                0.41897,                0.42193,                 1.4363,                 1.4589,               0.008383,               0.008383,               0.008383
                     52,                0.58774,                 1.6814,                 1.6549,                0.44544,                0.59464,                0.53155,                0.40229,                0.43632,                 1.4748,                 1.4394,                0.00835,                0.00835,                0.00835
                     53,                0.59703,                 1.6269,                  1.656,                0.54914,                0.63475,                0.58982,                 0.4582,                 0.3296,                 1.2932,                 1.3209,               0.008317,               0.008317,               0.008317
                     54,                0.60112,                 1.6286,                 1.6409,                0.64645,                0.56791,                0.63288,                 0.4881,                0.38655,                 1.2869,                 1.3954,               0.008284,               0.008284,               0.008284
                     55,                0.58916,                 1.6245,                 1.6361,                0.56299,                0.65996,                0.64053,                0.49599,                0.35183,                 1.2652,                  1.332,               0.008251,               0.008251,               0.008251
