epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.54838,3.37744,4.24711,4.14154,6e-05,0.02813,4e-05,1e-05,4.51401,3.58241,4.12959,0.000407801,0.000407801,0.000407801
2,17.0527,2.94515,3.84128,3.68015,0,0,0,0,4.56739,4.56295,4.17823,0.000822836,0.000822836,0.000822836
3,24.1081,2.48042,3.47156,3.2035,0.06052,0.11595,0.02815,0.0066,3.51557,3.45517,3.28338,0.00123622,0.00123622,0.00123622
4,31.3719,2.2236,3.23749,2.88927,0.03543,0.12723,0.05232,0.01192,3.18185,3.35988,3.07538,0.00124257,0.00124257,0.00124257
5,38.9396,2.08901,2.97366,2.6946,0.11648,0.04923,0.06921,0.02249,2.39658,3.30036,2.42769,0.0012401,0.0012401,0.0012401
6,46.2851,1.96047,2.79526,2.57973,0.15978,0.17786,0.12687,0.04011,2.29542,2.77395,2.27069,0.00123763,0.00123763,0.00123763
7,53.8893,1.91872,2.6626,2.46889,0.25703,0.32824,0.19676,0.0758,2.15976,2.55773,2.19565,0.00123515,0.00123515,0.00123515
8,61.4182,1.85122,2.56882,2.42641,0.34039,0.40667,0.25995,0.10372,2.18822,2.37226,2.16276,0.00123268,0.00123268,0.00123268
9,68.987,1.75661,2.43549,2.33717,0.29492,0.46817,0.30519,0.13334,2.00501,2.15135,2.06594,0.0012302,0.0012302,0.0012302
10,76.3314,1.75256,2.3778,2.33126,0.3404,0.38237,0.29094,0.12675,2.0044,2.16619,2.04217,0.00122773,0.00122773,0.00122773
11,83.3246,1.70878,2.29653,2.27711,0.23153,0.40769,0.28582,0.13255,1.98522,2.24471,1.99528,0.00122525,0.00122525,0.00122525
12,90.4136,1.6812,2.21179,2.24073,0.32093,0.38682,0.32143,0.1384,2.0931,1.99661,2.082,0.00122277,0.00122277,0.00122277
13,97.7645,1.63508,2.12182,2.20354,0.32519,0.57914,0.36393,0.16924,1.95911,2.2771,1.93464,0.0012203,0.0012203,0.0012203
14,105.14,1.59965,2.06605,2.13879,0.27224,0.48911,0.3343,0.15826,2.00339,2.00385,1.91108,0.00121783,0.00121783,0.00121783
15,112.276,1.55511,2.01959,2.07078,0.33614,0.48358,0.36584,0.17203,1.96583,2.01666,1.93393,0.00121535,0.00121535,0.00121535
16,119.854,1.52117,1.96293,2.05556,0.32074,0.50254,0.34067,0.1583,2.04459,1.99585,1.94722,0.00121287,0.00121287,0.00121287
17,126.845,1.50304,1.90938,2.04194,0.34241,0.6068,0.43752,0.22555,1.73572,1.8234,1.71113,0.0012104,0.0012104,0.0012104
18,134.206,1.46922,1.8856,2.01073,0.42485,0.50047,0.43854,0.22016,1.80466,1.75916,1.78369,0.00120793,0.00120793,0.00120793
19,141.195,1.42223,1.81346,1.9539,0.37648,0.53914,0.37904,0.18618,1.83704,1.83996,1.8076,0.00120545,0.00120545,0.00120545
20,148.235,1.41599,1.81041,1.94027,0.29858,0.58636,0.44831,0.21905,1.83057,1.7562,1.75373,0.00120298,0.00120298,0.00120298
21,155.368,1.39471,1.7574,1.92856,0.40029,0.52884,0.44045,0.22609,1.78407,1.66529,1.71154,0.0012005,0.0012005,0.0012005
22,162.765,1.41038,1.7456,1.9259,0.37779,0.60068,0.48354,0.25278,1.66964,1.6524,1.63152,0.00119802,0.00119802,0.00119802
23,170.207,1.37233,1.70989,1.90935,0.3646,0.54279,0.39772,0.20827,1.66686,1.74554,1.61137,0.00119555,0.00119555,0.00119555
24,177.244,1.3715,1.71891,1.87223,0.33218,0.60578,0.36449,0.1989,1.68559,1.91819,1.61643,0.00119308,0.00119308,0.00119308
25,184.282,1.36753,1.70904,1.89021,0.35932,0.64324,0.4606,0.24689,1.67876,1.60089,1.58628,0.0011906,0.0011906,0.0011906
26,191.339,1.39465,1.71861,1.90006,0.37384,0.5836,0.46921,0.25557,1.62152,1.69819,1.57642,0.00118812,0.00118812,0.00118812
27,198.791,1.32864,1.67249,1.8316,0.4317,0.55865,0.44788,0.24412,1.73105,1.77948,1.65131,0.00118565,0.00118565,0.00118565
