epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.75511,3.33142,4.18903,4.22759,0.00206,0.3745,0.00352,0.00085,3.48212,3.63999,4.12689,0.0002875,0.0002875,0.0002875
2,11.0056,3.03493,3.91316,3.90875,0.002,0.35747,0.00252,0.00061,3.53902,3.73943,4.15445,0.000586337,0.000586337,0.000586337
3,14.5996,2.65333,3.59468,3.42235,0.00122,0.17473,0.00085,0.00022,3.75653,3.80479,4.44549,0.000883986,0.000883986,0.000883986
4,18.1744,2.47859,3.39546,3.15487,0.13474,0.00338,0.00495,0.00107,3.6767,3.84179,4.38568,0.00118045,0.00118045,0.00118045
5,22.084,2.31573,3.21687,2.91285,0.0048,0.01722,0.00157,0.00043,3.08375,5.01423,3.84851,0.0012401,0.0012401,0.0012401
6,25.6742,2.14714,3.04913,2.78614,0.05616,0.28134,0.04102,0.01232,2.45792,3.58397,3.22644,0.00123763,0.00123763,0.00123763
7,29.7075,2.0259,2.87802,2.62511,0.09715,0.25808,0.09581,0.0318,2.19902,2.87523,2.85511,0.00123515,0.00123515,0.00123515
8,34.0469,1.92839,2.76188,2.51919,0.10145,0.35177,0.10187,0.03314,2.23374,3.45886,2.77694,0.00123268,0.00123268,0.00123268
9,38.0825,1.82013,2.63852,2.41359,0.16943,0.46126,0.17938,0.08093,2.07524,3.32054,2.63987,0.0012302,0.0012302,0.0012302
10,42.0763,1.80652,2.52935,2.35425,0.15511,0.41885,0.16057,0.06986,1.93203,3.47189,2.40474,0.00122773,0.00122773,0.00122773
11,45.6461,1.71619,2.46394,2.27528,0.24055,0.46118,0.19866,0.08927,1.82711,2.45459,2.24823,0.00122525,0.00122525,0.00122525
12,49.5948,1.70323,2.42763,2.23669,0.19046,0.54737,0.20438,0.09697,1.97253,2.41059,2.41749,0.00122277,0.00122277,0.00122277
13,53.4355,1.63417,2.3278,2.16723,0.1922,0.44763,0.22337,0.11866,1.71621,2.5819,2.17068,0.0012203,0.0012203,0.0012203
14,57.2663,1.58479,2.29765,2.13551,0.22944,0.62691,0.24226,0.13089,1.70295,2.08343,2.18802,0.00121783,0.00121783,0.00121783
15,61.2121,1.51222,2.22646,2.06651,0.19478,0.59306,0.22118,0.12893,1.53634,2.50709,1.99936,0.00121535,0.00121535,0.00121535
16,65.5647,1.50108,2.16071,2.04031,0.2357,0.60563,0.28619,0.17742,1.42242,1.99237,1.87518,0.00121287,0.00121287,0.00121287
17,69.4385,1.43853,2.10254,2.00814,0.24889,0.69776,0.32247,0.19835,1.37203,1.8325,1.84317,0.0012104,0.0012104,0.0012104
18,73.48,1.40055,2.00335,1.94159,0.24293,0.65505,0.27502,0.1699,1.44368,1.95397,1.96238,0.00120793,0.00120793,0.00120793
19,77.1501,1.42393,2.01227,1.95024,0.234,0.65886,0.2859,0.17422,1.39974,1.91392,1.84532,0.00120545,0.00120545,0.00120545
20,80.8547,1.36889,1.99936,1.90986,0.24416,0.63811,0.32212,0.2106,1.36526,1.85546,1.79896,0.00120298,0.00120298,0.00120298
21,84.832,1.34022,1.97085,1.88098,0.25677,0.67567,0.34056,0.22517,1.26504,1.77269,1.7341,0.0012005,0.0012005,0.0012005
22,89.6213,1.34995,1.92095,1.8892,0.23775,0.66632,0.31926,0.19528,1.39442,1.86717,1.82682,0.00119802,0.00119802,0.00119802
23,94.4604,1.36608,1.95099,1.8976,0.27364,0.64405,0.35301,0.2185,1.23338,1.98115,1.71614,0.00119555,0.00119555,0.00119555
24,99.303,1.33247,1.90862,1.86401,0.31823,0.54034,0.38341,0.25325,1.2529,1.77155,1.71543,0.00119308,0.00119308,0.00119308
25,105.715,1.31042,1.83996,1.82745,0.37068,0.55654,0.37858,0.25582,1.2718,1.7187,1.73677,0.0011906,0.0011906,0.0011906
26,110.939,1.27256,1.81365,1.79864,0.32008,0.62097,0.41986,0.29677,1.1464,1.62707,1.60407,0.00118812,0.00118812,0.00118812
27,116.088,1.25357,1.78853,1.76362,0.25807,0.54664,0.33452,0.22211,1.14409,2.18817,1.60664,0.00118565,0.00118565,0.00118565
28,120.912,1.28462,1.81228,1.78068,0.29651,0.60851,0.38175,0.24008,1.36969,1.8046,1.79231,0.00118317,0.00118317,0.00118317
29,125.731,1.22847,1.72272,1.74291,0.4522,0.62064,0.46976,0.32157,1.22776,1.51086,1.67308,0.0011807,0.0011807,0.0011807
30,130.912,1.22717,1.73517,1.74088,0.37087,0.65102,0.45584,0.32316,1.12698,1.67019,1.55984,0.00117822,0.00117822,0.00117822
31,136.018,1.22276,1.73778,1.73407,0.33291,0.60927,0.42796,0.29166,1.262,1.65333,1.67736,0.00117575,0.00117575,0.00117575
32,140.842,1.17392,1.68178,1.69388,0.35827,0.65638,0.45056,0.31886,1.11663,1.5275,1.56447,0.00117327,0.00117327,0.00117327
33,145.802,1.18057,1.67084,1.67124,0.38114,0.58219,0.4583,0.32981,1.11964,1.58133,1.54855,0.0011708,0.0011708,0.0011708
