epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.36709,3.13913,4.08458,4.10162,0.00211,0.36085,0.00182,0.00051,3.55788,3.69723,4.16587,0.000407801,0.000407801,0.000407801
2,13.1309,2.76269,3.74327,3.54261,0,0,0,0,3.86874,4.20167,4.52595,0.000822836,0.000822836,0.000822836
3,18.5878,2.50302,3.44655,3.13442,0.29146,0.1334,0.02948,0.00807,2.8351,6.05256,3.32918,0.00123622,0.00123622,0.00123622
4,24.73,2.30626,3.26461,2.89539,0.07262,0.16841,0.04508,0.01062,2.6989,3.80016,3.60175,0.00124257,0.00124257,0.00124257
5,30.6712,2.18128,3.08453,2.75539,0.30957,0.32079,0.08972,0.02587,2.27111,3.79876,2.69765,0.0012401,0.0012401,0.0012401
6,36.6542,2.05922,2.86638,2.6186,0.15653,0.30996,0.1383,0.04971,2.03336,3.37923,2.71318,0.00123763,0.00123763,0.00123763
7,43.0059,1.93459,2.74296,2.51398,0.11503,0.51763,0.13329,0.04472,2.12014,2.71725,2.70149,0.00123515,0.00123515,0.00123515
8,48.4633,1.87818,2.66567,2.48944,0.22577,0.358,0.20227,0.08956,1.8824,2.38863,2.4105,0.00123268,0.00123268,0.00123268
9,55.0713,1.81166,2.55787,2.37906,0.18729,0.60073,0.21828,0.10071,1.71863,2.23653,2.27239,0.0012302,0.0012302,0.0012302
10,63.8808,1.74784,2.50895,2.33337,0.18536,0.49934,0.23488,0.11279,1.75914,2.21115,2.26071,0.00122773,0.00122773,0.00122773
11,71.7517,1.73812,2.43038,2.30731,0.19826,0.57183,0.22074,0.10123,1.81983,2.27139,2.2958,0.00122525,0.00122525,0.00122525
12,79.3325,1.65895,2.34549,2.22246,0.17974,0.50197,0.20967,0.09153,1.85234,2.34353,2.27504,0.00122277,0.00122277,0.00122277
13,86.8146,1.62244,2.32533,2.18445,0.20082,0.60336,0.23268,0.13641,1.60713,2.15265,2.08809,0.0012203,0.0012203,0.0012203
14,94.9915,1.59627,2.24596,2.15048,0.18947,0.6321,0.23108,0.12434,1.64574,2.19749,2.11508,0.00121783,0.00121783,0.00121783
15,102.436,1.54985,2.20482,2.07934,0.23447,0.6287,0.27918,0.16563,1.459,1.94651,1.98764,0.00121535,0.00121535,0.00121535
16,111.518,1.4612,2.1025,2.00538,0.23116,0.43974,0.22473,0.11585,1.74761,2.32641,2.20718,0.00121287,0.00121287,0.00121287
17,119.269,1.47607,2.05226,2.01338,0.28814,0.51009,0.36332,0.22904,1.34805,1.84361,1.83967,0.0012104,0.0012104,0.0012104
18,128.027,1.47544,2.06483,1.99185,0.2485,0.58277,0.29554,0.18122,1.43557,1.8993,1.90258,0.00120793,0.00120793,0.00120793
19,135.488,1.39852,2.01718,1.93569,0.24094,0.56491,0.30359,0.1725,1.45751,1.9792,1.90344,0.00120545,0.00120545,0.00120545
20,142.853,1.38963,1.99326,1.90568,0.25587,0.58342,0.30569,0.18109,1.3884,1.986,1.86862,0.00120298,0.00120298,0.00120298
21,150.316,1.36305,1.92828,1.88799,0.27234,0.61911,0.32521,0.20034,1.32573,1.75317,1.81749,0.0012005,0.0012005,0.0012005
22,157.751,1.33795,1.89727,1.87126,0.2668,0.61639,0.35765,0.23201,1.24718,1.72706,1.73212,0.00119802,0.00119802,0.00119802
23,165.623,1.33794,1.89833,1.87443,0.32421,0.60323,0.41822,0.26353,1.2689,1.6418,1.68182,0.00119555,0.00119555,0.00119555
24,174.752,1.30796,1.8706,1.8404,0.29495,0.59777,0.37015,0.23401,1.27121,1.7596,1.72817,0.00119308,0.00119308,0.00119308
25,182.219,1.31076,1.84717,1.82989,0.29409,0.61881,0.3825,0.25052,1.18122,1.68883,1.62801,0.0011906,0.0011906,0.0011906
26,189.636,1.33166,1.84386,1.83307,0.29265,0.6618,0.41519,0.27115,1.23993,1.70921,1.71435,0.00118812,0.00118812,0.00118812
27,197.534,1.29015,1.80805,1.80757,0.25897,0.59524,0.31453,0.20096,1.26147,2.02315,1.74441,0.00118565,0.00118565,0.00118565
28,204.954,1.27752,1.78532,1.77235,0.32339,0.66983,0.38905,0.24341,1.31879,1.71682,1.79272,0.00118317,0.00118317,0.00118317
29,212.357,1.25964,1.77276,1.76861,0.31912,0.70261,0.40948,0.28175,1.09129,1.61733,1.55374,0.0011807,0.0011807,0.0011807
30,220.483,1.2002,1.73418,1.71204,0.37375,0.63268,0.44641,0.30939,1.1183,1.68712,1.60615,0.00117822,0.00117822,0.00117822
31,228.363,1.22835,1.77416,1.74242,0.30805,0.59871,0.38143,0.25727,1.18897,1.7367,1.63548,0.00117575,0.00117575,0.00117575
32,235.811,1.19259,1.709,1.71642,0.41656,0.69165,0.46269,0.32488,1.0539,1.44359,1.50928,0.00117327,0.00117327,0.00117327
33,243.753,1.20801,1.70398,1.6992,0.33156,0.54823,0.3953,0.2675,1.19548,1.66709,1.61874,0.0011708,0.0011708,0.0011708
34,251.191,1.21746,1.70496,1.72146,0.31367,0.65679,0.38535,0.26056,1.14649,1.65782,1.59652,0.00116833,0.00116833,0.00116833
35,258.607,1.19155,1.69978,1.68844,0.41537,0.62379,0.45447,0.33029,1.05216,1.43538,1.5311,0.00116585,0.00116585,0.00116585
36,266.621,1.1683,1.66005,1.6809,0.3759,0.63152,0.41955,0.28569,1.12424,1.5227,1.54911,0.00116337,0.00116337,0.00116337
37,274.124,1.13768,1.63131,1.64618,0.35094,0.55419,0.41008,0.28262,1.08115,1.65559,1.52241,0.0011609,0.0011609,0.0011609
38,281.608,1.14357,1.62475,1.63538,0.27377,0.64264,0.37054,0.2497,1.14183,2.03367,1.54358,0.00115843,0.00115843,0.00115843
39,289.01,1.12586,1.58519,1.63725,0.40916,0.63286,0.47791,0.35589,0.98639,1.42254,1.44477,0.00115595,0.00115595,0.00115595
40,296.949,1.13667,1.56217,1.62845,0.45946,0.67523,0.48287,0.35605,0.96749,1.37024,1.42276,0.00115348,0.00115348,0.00115348
41,304.958,1.10119,1.53419,1.60096,0.43514,0.70933,0.49128,0.3621,0.99085,1.40523,1.45824,0.001151,0.001151,0.001151
42,313.042,1.12452,1.56949,1.62262,0.39575,0.6579,0.4596,0.34616,0.96864,1.49931,1.41208,0.00114853,0.00114853,0.00114853
43,320.486,1.09741,1.5148,1.60828,0.47072,0.6986,0.52611,0.38322,0.99488,1.36234,1.43281,0.00114605,0.00114605,0.00114605
44,328.539,1.11551,1.55001,1.60859,0.38274,0.66035,0.41026,0.29552,0.956,1.61135,1.41465,0.00114357,0.00114357,0.00114357
