epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9567,3.27885,4.17918,4.17858,0.00206,0.3678,0.00185,0.00052,3.49369,3.66307,4.14651,0.0002875,0.0002875,0.0002875
2,19.8757,2.84572,3.89249,3.69849,0.00226,0.40039,0.00229,0.00065,3.41648,3.59616,4.10051,0.000586326,0.000586326,0.000586326
3,26.8804,2.57917,3.59922,3.25241,0,0,0,0,3.68499,4.4122,4.38795,0.000883954,0.000883954,0.000883954
4,33.666,2.43972,3.44693,3.02568,0,0,0,0,3.74233,4.89191,4.57226,0.00118038,0.00118038,0.00118038
5,42.0518,2.27875,3.27141,2.85167,0.00244,0.43844,0.00614,0.00179,2.87475,4.03122,3.60753,0.00124001,0.00124001,0.00124001
6,49.7294,2.17172,3.10791,2.77903,0.07523,0.29731,0.07991,0.02205,2.3862,3.76478,3.52633,0.00123751,0.00123751,0.00123751
7,56.7588,2.0497,2.93443,2.66443,0.04592,0.13127,0.06205,0.02128,2.20712,3.28381,2.69952,0.00123502,0.00123502,0.00123502
8,63.6461,1.98351,2.83978,2.56834,0.12719,0.33278,0.09456,0.03451,2.2067,3.85757,2.59025,0.00123252,0.00123252,0.00123252
9,70.8398,1.86592,2.69927,2.47667,0.10893,0.52652,0.09559,0.03303,2.14496,3.13218,2.67844,0.00123002,0.00123002,0.00123002
10,77.4494,1.85236,2.62901,2.43957,0.10797,0.45134,0.11055,0.04078,2.05931,2.70774,2.55008,0.00122752,0.00122752,0.00122752
11,84.8846,1.73607,2.51579,2.3307,0.11336,0.62904,0.15876,0.05896,1.98654,3.15301,2.62835,0.00122503,0.00122503,0.00122503
12,92.9555,1.75184,2.47373,2.29295,0.14787,0.53362,0.16936,0.07332,2.08916,2.79395,2.65096,0.00122253,0.00122253,0.00122253
13,101.139,1.66257,2.34943,2.22727,0.13445,0.39518,0.12848,0.04925,2.01105,2.63467,2.4617,0.00122003,0.00122003,0.00122003
14,109.511,1.63184,2.29348,2.21786,0.18286,0.452,0.20253,0.11215,1.75114,2.31664,2.1952,0.00121753,0.00121753,0.00121753
15,116.928,1.56767,2.22752,2.12834,0.23425,0.62299,0.25646,0.1412,1.51977,2.17182,2.0185,0.00121503,0.00121503,0.00121503
16,124.575,1.55483,2.17552,2.11927,0.22108,0.65763,0.2756,0.14616,1.57927,2.16456,2.05121,0.00121254,0.00121254,0.00121254
17,132.026,1.49883,2.13674,2.07464,0.23272,0.6855,0.31066,0.15431,1.56543,1.92004,2.08013,0.00121004,0.00121004,0.00121004
18,139.442,1.48482,2.03611,2.03612,0.22382,0.70334,0.24751,0.14072,1.55292,1.98827,1.97196,0.00120754,0.00120754,0.00120754
19,146.869,1.45046,2.04897,2.0031,0.23169,0.70901,0.25374,0.14351,1.53942,1.95717,2.07637,0.00120505,0.00120505,0.00120505
20,154.27,1.44493,2.05496,2.00068,0.22801,0.65673,0.30665,0.19735,1.30456,1.79764,1.78011,0.00120255,0.00120255,0.00120255
21,162.486,1.39996,1.97461,1.95196,0.23308,0.6752,0.28078,0.16218,1.48059,1.88135,1.92542,0.00120005,0.00120005,0.00120005
22,169.314,1.39239,1.94391,1.96241,0.2288,0.58138,0.27639,0.15803,1.46067,1.98005,1.94537,0.00119755,0.00119755,0.00119755
23,176.239,1.39067,1.98132,1.95781,0.23213,0.68506,0.31235,0.18116,1.41467,1.85637,1.90787,0.00119505,0.00119505,0.00119505
24,183.08,1.3499,1.91295,1.89719,0.29113,0.61202,0.36628,0.24859,1.1939,1.72669,1.67017,0.00119256,0.00119256,0.00119256
25,190.34,1.33686,1.87595,1.87744,0.24372,0.60999,0.3464,0.20771,1.32788,1.82819,1.79923,0.00119006,0.00119006,0.00119006
26,196.859,1.31881,1.86726,1.88752,0.29062,0.61947,0.32608,0.21468,1.20596,1.68712,1.64954,0.00118756,0.00118756,0.00118756
27,204.034,1.30893,1.84128,1.84207,0.25806,0.66565,0.33476,0.21642,1.22116,1.86286,1.66179,0.00118507,0.00118507,0.00118507
28,211.031,1.29855,1.82108,1.82721,0.29505,0.66439,0.35593,0.22764,1.37042,1.80838,1.77923,0.00118257,0.00118257,0.00118257
29,218.376,1.26483,1.75814,1.80982,0.34114,0.61583,0.40518,0.25677,1.3281,1.68391,1.79078,0.00118007,0.00118007,0.00118007
30,225.433,1.26621,1.77491,1.80941,0.32836,0.66089,0.37856,0.27099,1.10256,1.70292,1.56074,0.00117757,0.00117757,0.00117757
31,232.674,1.24177,1.77297,1.79558,0.30579,0.64177,0.41067,0.2656,1.30576,1.73084,1.72638,0.00117507,0.00117507,0.00117507
32,239.506,1.1995,1.68595,1.74408,0.35463,0.64351,0.41866,0.28697,1.13696,1.57456,1.56534,0.00117258,0.00117258,0.00117258
33,246.833,1.19955,1.67851,1.7125,0.36137,0.65036,0.46087,0.33094,1.07926,1.52089,1.52109,0.00117008,0.00117008,0.00117008
