                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5686,                 3.9602,                 4.1877,                 0.0037,                0.68331,                0.00527,                0.00191,                 2.7774,                 3.6113,                 4.0653,               0.070638,              0.0032624,              0.0032624
                      2,                 2.4685,                 3.9182,                 4.0605,                0.00325,                  0.696,                 0.0101,                0.00311,                 2.5761,                 3.5219,                 3.9043,               0.040617,               0.006574,               0.006574
                      3,                 2.2517,                 3.7173,                 3.8253,                0.00308,                0.74199,                0.01096,                0.00279,                 2.1628,                 4.0923,                 3.5244,               0.010573,              0.0098635,              0.0098635
                      4,                 2.0215,                 3.5528,                 3.4505,                0.25475,                0.03845,                0.00427,                0.00117,                 2.1869,                 8.5902,                 3.4968,               0.009901,               0.009901,               0.009901
                      5,                 1.8282,                 3.4363,                 3.1908,                0.07243,                0.22551,                0.04266,                0.01055,                 2.2191,                 10.764,                 3.4579,               0.009901,               0.009901,               0.009901
                      6,                 1.6516,                 3.3111,                 2.9987,                0.29642,                0.26356,                0.07194,                0.02479,                 1.7059,                 3.8986,                 2.9339,               0.009868,               0.009868,               0.009868
                      7,                 1.4743,                 3.2439,                 2.8293,                0.05096,                0.09286,                0.06289,                0.02036,                 1.7051,                 3.0466,                 2.9322,               0.009835,               0.009835,               0.009835
                      8,                 1.3157,                 3.0793,                 2.7138,                0.35638,                0.27718,                 0.1114,                0.04028,                 1.4687,                 4.1334,                 2.7125,               0.009802,               0.009802,               0.009802
                      9,                 1.2455,                  3.014,                 2.6173,                0.37062,                0.35822,                0.15464,                0.06592,                 1.1668,                   2.78,                  2.419,               0.009769,               0.009769,               0.009769
                     10,                 1.1418,                 2.8965,                 2.5241,                0.14872,                 0.2244,                0.11529,                0.04173,                 1.2652,                 3.8014,                 2.5224,               0.009736,               0.009736,               0.009736
                     11,                 1.1251,                 2.8095,                 2.4741,                0.11831,                0.13365,                0.07769,                0.03527,                  1.246,                 3.6015,                 2.5884,               0.009703,               0.009703,               0.009703
                     12,                  1.068,                 2.7572,                 2.4389,                0.18687,                0.32195,                0.21316,                0.08666,                 1.0554,                 2.4925,                 2.3501,                0.00967,                0.00967,                0.00967
                     13,                 1.0285,                 2.7051,                 2.3689,                0.24797,                0.45816,                0.27416,                 0.1341,                0.93548,                 2.2807,                 2.1826,               0.009637,               0.009637,               0.009637
                     14,                0.97353,                 2.6294,                 2.3254,                0.28635,                0.53557,                0.34065,                0.18349,                0.82315,                 2.2624,                 2.0594,               0.009604,               0.009604,               0.009604
                     15,                0.94484,                 2.5499,                 2.2414,                0.28922,                0.48494,                0.30568,                0.17079,                0.85003,                 2.1328,                 2.0413,               0.009571,               0.009571,               0.009571
                     16,                0.91656,                  2.515,                 2.1987,                0.24283,                0.40219,                0.27238,                0.13796,                0.92896,                 2.2586,                 2.1688,               0.009538,               0.009538,               0.009538
                     17,                0.90716,                 2.4642,                   2.19,                 0.2186,                0.42214,                0.23355,                0.11587,                0.89937,                 2.3803,                 2.0632,               0.009505,               0.009505,               0.009505
                     18,                0.88341,                 2.4157,                 2.1454,                0.34707,                0.52694,                0.36083,                0.22354,                0.67521,                 1.9299,                 1.8354,               0.009472,               0.009472,               0.009472
                     19,                0.86483,                 2.3524,                  2.135,                0.26621,                0.53686,                 0.2963,                0.17342,                0.64401,                 2.2682,                 1.8005,               0.009439,               0.009439,               0.009439
                     20,                 0.8179,                 2.3013,                 2.0889,                0.35933,                0.58586,                0.39217,                0.24519,                0.60654,                 1.9277,                 1.7534,               0.009406,               0.009406,               0.009406
                     21,                0.80542,                 2.2711,                 2.0465,                0.41045,                0.51859,                0.40849,                0.26208,                0.60517,                 1.8816,                 1.7831,               0.009373,               0.009373,               0.009373
                     22,                0.78982,                 2.2292,                 2.0397,                 0.3445,                0.47978,                0.35129,                0.19476,                0.86343,                 2.1638,                 2.0231,                0.00934,                0.00934,                0.00934
                     23,                0.76888,                 2.1936,                 1.9903,                 0.4009,                0.59416,                0.42935,                0.27974,                0.63026,                 1.7574,                 1.7654,               0.009307,               0.009307,               0.009307
                     24,                0.74645,                 2.1448,                 1.9725,                0.34224,                0.63137,                 0.4426,                0.28846,                0.59239,                 1.7411,                 1.7316,               0.009274,               0.009274,               0.009274
